query,message_ids,num_hits,stats,best_match_title,best_match_score,hits
Динис Бүләков Оса ҡыр ҡаҙҙары Хәким Хәйретд,757,0,0 results found,,0.0,
Тәнзилә Дәүләтбирҙина Тирмә Миңзәлә Хәйруллина,754,0,0 results found,,0.0,
Рәшит Шәкүр Сана юлы Хәмит Яруллин,752,0,0 results found,,0.0,
Нәжиә Игеҙйәнова Туй күлдәге Илһөйәр Ғәзетдинова,750,0,0 results found,,0.0,
Динис Исламов Оҙатыу Наилә Ғәләүетдинова уҡ,748,0,0 results found,,0.0,
"ыу"" хикәйәһе",747,0,0 results found,,0.0,
Шамил Хажиәхмәтов Йәнтөйәккә юл хикәйәһе 3 сө ө,746,0,0 results found,,0.0,
Шамил Хажиәхмәтов Йәнтөйәккә юл хикәйәһе 2 се ө,745,0,0 results found,,0.0,
Шамил Хажиәхмәтов Йәнтөйәккә юл хикәйәһе 1 се ө,744,0,0 results found,,0.0,
әсир,743;742,20,44 results found in 1ms,Йәшел сирәмдә һары керәндил,0.258,"Башҡорт халыҡ ижады. Бәйеттәр, йырҙар, таҡмаҡтар — Әмир Әминев (https://kitaptar.bashkort.org/book/648) | Йәшлек моңдары — Әмир Әминев (https://kitaptar.bashkort.org/book/304) | Проводникъ по отдаленнѣйшимъ окраинамъ Россіи — Әмир Әминев (https://kitaptar.bashkort.org/book/1448) | УМАРТАСЫ КӘҢӘШТӘРЕ — Рафиҡ НОҒОМАНОВ Әмир ИШЕМҒОЛОВ (https://kitaptar.bashkort.org/book/505) | Сәк-Сәк менән Бауырһак нисек тәмле ризык әҙерләргә өйрәнде — Юлдашбаев А. М. (https://kitaptar.bashkort.org/book/1089) | Сәк-Сәк менән Бауырһаҡ нисек тәмле ризыҡ әҙерләргә өйрәнде. — Бураҡаева Мәрйәм (https://kitaptar.bashkort.org/book/897) | Юлдашбаев А.М. Заки Валиди Тоган: ученый, политик, личность. –Уфа: ИИЯЛ УНЦ РАН, 2015. – 100 с. — ЮЛДАШБАЕВ Амир Мурзагалеевич (https://kitaptar.bashkort.org/book/5299) | Йәшел сирәмдә һары керәндил — Бейсембиев Т. К. (https://kitaptar.bashkort.org/book/925) | Башҡорт теле. Дөйөм белем биреү учреждениеларының 4-се класы өсөн дәреслек. Ике киҫәктә. 1-се киҫәк. — 2-се баҫма, үҙгәртелгән / Ф. Ш. Сынбулатова, Г. Ә. Вәлиева, P. В. Сиражетдинова. — Өфө: Китап, 2014. — Бүрәттәре менән 160 бит. — Сынбулатова, Ф. Ш., Вәлиева, Г. Ә., Сиражетдинова, P. В. (https://kitaptar.bashkort.org/book/5031) | Рəсəй халыҡтары телдəре диалектологияһының көнүҙəк мəсьəлəлəре — Ишкильдина Л.К., Сиразитдинов З.А. (https://kitaptar.bashkort.org/book/6) | Башҡорт теленең аңлатмалы һүҙлеге — Суфьянова Н. Ф., Сиразитдинов 3. Ә., Ураҡсин 3. Ғ. (https://kitaptar.bashkort.org/book/409) | Башкортостан с древнейших времен до наших дней. Хроника основных событий — Л.К. Ишкильдина, З.А. Сиразитдинов (https://kitaptar.bashkort.org/book/553) | Актуальные проблемы диалектологии языков народов России — Л.К. Ишкильдина, З.А. Сиразитдинов (https://kitaptar.bashkort.org/book/202) | Рəсəй халыҡтары телдəре диалектологияһының көнүҙəк мəсьəлəлəре — Л.К. Ишкильдина, З.А. Сиразитдинов (https://kitaptar.bashkort.org/book/4) | АКТУАЛЬНЫЕ ПРОБЛЕМЫ ДИАЛЕКТОЛОГИИ ЯЗЫКОВ НАРОДОВ РОССИИ — Л.К. Ишкильдина, З.А. Сиразитдинов (https://kitaptar.bashkort.org/book/7) | Актуальные проблемы диалектологии языков народов России — Л.К. Ишкильдина, З.А. Сиразитдинов (https://kitaptar.bashkort.org/book/201) | Актуальные проблемы диалектологии языков народов России: Материалы XVIII Всероссийской научной конференции (с международным участием). Уфа: ИИЯЛ УФИЦ РАН, 2018. 248 с. — Ф. Г. Хисамитдинова, Ш. В. Нафиков, З. А. Сиразитдинов, Г. Н. Ягафарова, А. М. Ишегулова (https://kitaptar.bashkort.org/book/5065) | Актуальные проблемы диалектологии языков народов России 2018 — Ф. Г. Хисамитдинова, Ш. В. Нафиков, З. А. Сиразитдинов, Г. Н. Ягафарова (https://kitaptar.bashkort.org/book/5005) | Урыҫса-башҡортса һүҙлек: 2 томда. 1-се том. А-О — И.М. Агишев, Ә.Ф. Ғиндуллина, Г.Д. Зәйнуллина, З.Ҡ. Ишмөхәмәтов, С.Ф. Миржанова, Ш.В. Нафиҡов, З.Ә. Сиразетдинов, Н.Ф. Суфьянова, З.Г. Уразбаева, З.Ғ. Ураксин, Р.Н. Һаҙыева. З.Ғ. Ураҡсин (https://kitaptar.bashkort.org/book/223) | Урыҫса-башҡортса һүҙлек: 2 томда. 2-се том. П-Я — И.М. Агишев, Ә.Ф. Ғиндуллина, Г.Д. Зәйнуллина, З.Ҡ. Ишмөхәмәтов, С.Ф. Миржанова, Ш.В. Нафиҡов, З.Ә. Сиразетдинов, Н.Ф. Суфьянова, З.Г. Уразбаева, З.Ғ. Ураксин, Р.Н. Һаҙыева. З.Ғ. Ураҡсин (https://kitaptar.bashkort.org/book/224)"
