path,reference,hypothesis,reference_norm,hypothesis_norm,wer,cer
097_Ибрагимова Мадина.alignment_0001.wav,"Әсә күңелен диңгеҙ тиҙәр, Унда күпме ынйы бар!","Аҡылыҡтарға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡарап, ҡыҙғырға ҡар",әсә күңелен диңгеҙ тиҙәр унда күпме ынйы бар,аҡылыҡтарға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡарап ҡыҙғырға ҡар,3.0,3.727272727272727
097_Ибрагимова Мадина.alignment_0002.wav,"һөйөп, ҡәҙерләп үҫтергән Бала өсөн саф мөхәббәт Ынйылары бит улар!","Һөйөп, кәҙерҙә үҫтәйгән, бала өнсөнсәкмәһе беҙ, ун ялы бит улар.",һөйөп ҡәҙерләп үҫтергән бала өсөн саф мөхәббәт ынйылары бит улар,һөйөп кәҙерҙә үҫтәйгән бала өнсөнсәкмәһе беҙ ун ялы бит улар,0.6,0.328125
097_Ибрагимова Мадина.alignment_0003.wav,"Әсә күңелен дала тиҙәр, Ул тылсымлы, киң дала.","Әсәғнелек, баллат, тиҙҙә, ултыҫына киң дала.",әсә күңелен дала тиҙәр ул тылсымлы киң дала,әсәғнелек баллат тиҙҙә ултыҫына киң дала,0.75,0.37209302325581395
097_Ибрагимова Мадина.alignment_0004.wav,Ошо күңелдән башлана Һәр кемдең дә ҙур бәхеткә Аҡ юлдары донъяла!,"Осо уҡың өлдөңө төшмәҫләнә, һәкендең дә, дүбәт, аҡ юлдағы дүрләла.",ошо күңелдән башлана һәр кемдең дә ҙур бәхеткә аҡ юлдары донъяла,осо уҡың өлдөңө төшмәҫләнә һәкендең дә дүбәт аҡ юлдағы дүрләла,0.8181818181818182,0.5
097_Ибрагимова Мадина.alignment_0005.wav,"Әсә күңелен ҡояш тиҙәр, Унда күпме яҡтылыҡ!","Әсәкме лә ҡояш, тиҙҙә, ултыҡ, һине күпме яҡтылыҡ.",әсә күңелен ҡояш тиҙәр унда күпме яҡтылыҡ,әсәкме лә ҡояш тиҙҙә ултыҡ һине күпме яҡтылыҡ,0.7142857142857143,0.4146341463414634
097_Ибрагимова Мадина.alignment_0006.wav,"Шул күңелдең яҡтыһынан Тормош тағы балҡып китә, Ерҙә арта яҡшылыҡ!","Осоҡүлдеңлектарынан мосталы балкып китә, ебҙә ата яҡсылыҡ.",шул күңелдең яҡтыһынан тормош тағы балҡып китә ерҙә арта яҡшылыҡ,осоҡүлдеңлектарынан мосталы балкып китә ебҙә ата яҡсылыҡ,0.9,0.34375
008_Мамбетова Лейсан.alignment_0001.wav,"Башҡорттарым, уҡыу кәрәк, уҡыу кәрәк!","Башҡорттарым уҡыу кәрәк, уҡыу кәрәк.",башҡорттарым уҡыу кәрәк уҡыу кәрәк,башҡорттарым уҡыу кәрәк уҡыу кәрәк,0.0,0.0
008_Мамбетова Лейсан.alignment_0002.wav,"Арабыҙҙа наҙандар күп, уҡыу һирәк.","Арабыҙҙа алмаҙан дар бул, уҡыу һирәк.",арабыҙҙа наҙандар күп уҡыу һирәк,арабыҙҙа алмаҙан дар бул уҡыу һирәк,0.6,0.21875
008_Мамбетова Лейсан.alignment_0003.wav,"Аңғыра айыуҙан Уралдағы ҡурҡҡандай, Эй, туғандар, наҙанлыҡтан ҡурҡыу кәрәк!","Аңғыра айыуҙан уралдыға ҡурҡҡандай, Эй туғандан, наҙырлыҡтан ҡурҡыуы кәрәк.",аңғыра айыуҙан уралдағы ҡурҡҡандай эй туғандар наҙанлыҡтан ҡурҡыу кәрәк,аңғыра айыуҙан уралдыға ҡурҡҡандай эй туғандан наҙырлыҡтан ҡурҡыуы кәрәк,0.4444444444444444,0.08450704225352113
008_Мамбетова Лейсан.alignment_0004.wav,"Илтифат ит: уҡыуҙалыр шәрафәттәр, Яһиллыҡтан килә ятыр ҙур афәттәр.","Илтифат ит, уҡыуҙа алыр, шәрфәттәр, йәхиллектән килер, ҙур әфәттәр.",илтифат ит уҡыуҙалыр шәрафәттәр яһиллыҡтан килә ятыр ҙур афәттәр,илтифат ит уҡыуҙа алыр шәрфәттәр йәхиллектән килер ҙур әфәттәр,0.6666666666666666,0.234375
008_Мамбетова Лейсан.alignment_0005.wav,"Уҡығандар күктә осор, һыуҙа йөҙөр, Юҡтыр унда әүлиәлек, кәрамәттәр.","Уҡығандар күктә осор, һыуҙа йөҙөп, юҡтыр унда әүләле кәрәмәттәр.",уҡығандар күктә осор һыуҙа йөҙөр юҡтыр унда әүлиәлек кәрамәттәр,уҡығандар күктә осор һыуҙа йөҙөп юҡтыр унда әүләле кәрәмәттәр,0.3333333333333333,0.06349206349206349
008_Мамбетова Лейсан.alignment_0006.wav,"Уҡығанға был донъяла жәләл булыр, Харам тигән күп шәйҙәр хәләл булыр.","Уҡығандар был донъяла жәләл булыр, һарам түгән күксәйҙәр ҡәләл булыр.",уҡығанға был донъяла жәләл булыр харам тигән күп шәйҙәр хәләл булыр,уҡығандар был донъяла жәләл булыр һарам түгән күксәйҙәр ҡәләл булыр,0.5454545454545454,0.11940298507462686
008_Мамбетова Лейсан.alignment_0007.wav,"Ырыҫ, дәүләт шишмәһен асам тиһәң, Ғилем-һөнәр берҙән-бер әмәл булыр.","Ороҙ дәүләт шишмәһен асам тиһәң, ҡилем һүнә берҙәң бер әмәл булы.",ырыҫ дәүләт шишмәһен асам тиһәң ғилем һөнәр берҙән бер әмәл булыр,ороҙ дәүләт шишмәһен асам тиһәң ҡилем һүнә берҙәң бер әмәл булы,0.45454545454545453,0.12307692307692308
008_Мамбетова Лейсан.alignment_0008.wav,"Алтыға берҙе ҡушып, һан ун булмай, Сәғәтте алға бороп, төн көн булмай.","Алтыға береҙеү ҡушып, һан ун булмай, сәғәтте алға бороу, төнкөн булмай.",алтыға берҙе ҡушып һан ун булмай сәғәтте алға бороп төн көн булмай,алтыға береҙеү ҡушып һан ун булмай сәғәтте алға бороу төнкөн булмай,0.3333333333333333,0.06060606060606061
008_Мамбетова Лейсан.alignment_0009.wav,"Белемлелек — арыҫландан көслө батыр, Шуға атланмай, һинең төшөң һис өн булмай.","Бөлөмлөлөк арҡыландан көслө батыр, шуға атланмай, һинең кешең һис өл булмай.",белемлелек арыҫландан көслө батыр шуға атланмай һинең төшөң һис өн булмай,бөлөмлөлөк арҡыландан көслө батыр шуға атланмай һинең кешең һис өл булмай,0.36363636363636365,0.136986301369863
143_Набиуллин Инсаф.alignment_0001.wav,"Башҡорттарым, уҡыу кәрәк, уҡыу кәрәк!","Маҫҡорттарым уҡыу керәк, уҡыу керәк.",башҡорттарым уҡыу кәрәк уҡыу кәрәк,маҫҡорттарым уҡыу керәк уҡыу керәк,0.6,0.11764705882352941
143_Набиуллин Инсаф.alignment_0002.wav,"Арабыҙҙа наҙандар күп, уҡыу һирәк.","Арабыҙҙан наҙандан күп, уҡыу һирәк.",арабыҙҙа наҙандар күп уҡыу һирәк,арабыҙҙан наҙандан күп уҡыу һирәк,0.4,0.0625
143_Набиуллин Инсаф.alignment_0003.wav,"Аңғыра айыуҙан Уралдағы ҡурҡҡандай, Эй, туғандар, наҙанлыҡтан ҡурҡыу кәрәк!","Аңыра айыуҙан уралдағы ҡурҡҡандай, әй, туғадар, даҙатлыҡтар ҡурҡыу кәрәк.",аңғыра айыуҙан уралдағы ҡурҡҡандай эй туғандар наҙанлыҡтан ҡурҡыу кәрәк,аңыра айыуҙан уралдағы ҡурҡҡандай әй туғадар даҙатлыҡтар ҡурҡыу кәрәк,0.4444444444444444,0.08450704225352113
143_Набиуллин Инсаф.alignment_0004.wav,"Илтифат ит: уҡыуҙалыр шәрафәттәр, Яһиллыҡтан килә ятыр ҙур афәттәр.","Иртифат ит уҡыуҙа олош сәрәүәттәр, йәһиллыҡтар килә ятыр ҙур әфәттәр.",илтифат ит уҡыуҙалыр шәрафәттәр яһиллыҡтан килә ятыр ҙур афәттәр,иртифат ит уҡыуҙа олош сәрәүәттәр йәһиллыҡтар килә ятыр ҙур әфәттәр,0.6666666666666666,0.1875
143_Набиуллин Инсаф.alignment_0005.wav,"Уҡығандар күктә осор, һыуҙа йөҙөр, Юҡтыр унда әүлиәлек, кәрамәттәр.","Уҡылатар күктә аҫыл, һыуҙа йөҙөр, юҡтыр уҙа, әүлиәлек, кәрәбәттәр.",уҡығандар күктә осор һыуҙа йөҙөр юҡтыр унда әүлиәлек кәрамәттәр,уҡылатар күктә аҫыл һыуҙа йөҙөр юҡтыр уҙа әүлиәлек кәрәбәттәр,0.4444444444444444,0.1746031746031746
143_Набиуллин Инсаф.alignment_0006.wav,"Уҡығанға был донъяла жәләл булыр, Харам тигән күп шәйҙәр хәләл булыр.","Уҡығанға был донъяла зәләл булыр, һарап тигән күп сәйҙәр хәләл булыр.",уҡығанға был донъяла жәләл булыр харам тигән күп шәйҙәр хәләл булыр,уҡығанға был донъяла зәләл булыр һарап тигән күп сәйҙәр хәләл булыр,0.2727272727272727,0.05970149253731343
143_Набиуллин Инсаф.alignment_0007.wav,"Ырыҫ, дәүләт шишмәһен асам тиһәң, Ғилем-һөнәр берҙән-бер әмәл булыр.","Рөҫ, дәүләт сисмәһеҙ аҫаҡ тиһәң, һилеп һүҙәр берҙән-бер әбәй булы.",ырыҫ дәүләт шишмәһен асам тиһәң ғилем һөнәр берҙән бер әмәл булыр,рөҫ дәүләт сисмәһеҙ аҫаҡ тиһәң һилеп һүҙәр берҙән бер әбәй булы,0.6363636363636364,0.2153846153846154
143_Набиуллин Инсаф.alignment_0008.wav,"Алтыға берҙе ҡушып, һан ун булмай, Сәғәтте алға бороп, төн көн булмай.","Алтыға берҙе ҡуҫып һат ут булмай, Сәғәтте алға бороп төт көт булмай.",алтыға берҙе ҡушып һан ун булмай сәғәтте алға бороп төн көн булмай,алтыға берҙе ҡуҫып һат ут булмай сәғәтте алға бороп төт көт булмай,0.4166666666666667,0.07575757575757576
143_Набиуллин Инсаф.alignment_0009.wav,"Белемлелек — арыҫландан көслө батыр, Шуға атланмай, һинең төшөң һис өн булмай.","Беләүләне, ашлаттан көслө баты, Шуға атлатма, һинек, төсөү, һис эт булмай.",белемлелек арыҫландан көслө батыр шуға атланмай һинең төшөң һис өн булмай,беләүләне ашлаттан көслө баты шуға атлатма һинек төсөү һис эт булмай,0.6363636363636364,0.2465753424657534
054_Гумерова Гальсар.alignment_0001.wav,"Башҡортостан, һин беҙҙең Тыуған, үҫкән илебеҙ.","Башҡортостан, һин беҙҙең, тауға үҫкән илебеҙ.",башҡортостан һин беҙҙең тыуған үҫкән илебеҙ,башҡортостан һин беҙҙең тауға үҫкән илебеҙ,0.16666666666666666,0.046511627906976744
054_Гумерова Гальсар.alignment_0002.wav,"Беҙгә икмәк, өй биргән, һыуын эскән еребеҙ.","Беҙгә икмәк, әй бара, һаулан эскән йәребеҙ.",беҙгә икмәк өй биргән һыуын эскән еребеҙ,беҙгә икмәк әй бара һаулан эскән йәребеҙ,0.5714285714285714,0.25
054_Гумерова Гальсар.alignment_0003.wav,"Тауың бирә һары алтын, Ерең бирә ҡара алтын.","Талам бирә һары алдын, йырым бирә ҡара алдын.",тауың бирә һары алтын ерең бирә ҡара алтын,талам бирә һары алдын йырым бирә ҡара алдын,0.5,0.21428571428571427
054_Гумерова Гальсар.alignment_0004.wav,"Балыҡҡа бай һыуҙарың, Ашлыҡҡа бай ҡырҙарың.","Балыҡҡа байһылдарың, ашлыҡҡа баҡырҙарың.",балыҡҡа бай һыуҙарың ашлыҡҡа бай ҡырҙарың,балыҡҡа байһылдарың ашлыҡҡа баҡырҙарың,0.6666666666666666,0.12195121951219512
054_Гумерова Гальсар.alignment_0005.wav,"Ағасҡа бай урманың, Таҡыр һинең юлдарың, Матур һинең ҡырҙарың , Батыр һинең улдарың.","Ағасҡа бай урманы, ҡатыр һинең юлдары, матур һине, ҡырҙары, батыр һинең улдары.",ағасҡа бай урманың таҡыр һинең юлдарың матур һинең ҡырҙарың батыр һинең улдарың,ағасҡа бай урманы ҡатыр һинең юлдары матур һине ҡырҙары батыр һинең улдары,0.5,0.08860759493670886
